n,Measured,Theoretical
100,7.48,7.38
200,8.82,8.77
300,9.59,9.59
400,10.17,10.16
500,10.59,10.61
600,10.94,10.98
700,11.28,11.29
800,11.54,11.55
900,11.76,11.79
1000,12.02,12.00
1100,12.17,12.19
1200,12.33,12.37
1300,12.51,12.53
1400,12.63,12.68
1500,12.81,12.82
1600,12.95,12.94
1700,13.05,13.07
1800,13.17,13.18
1900,13.31,13.29
2000,13.41,13.39
2100,13.46,13.49
2200,13.58,13.58
2300,13.65,13.67
2400,13.71,13.76
2500,13.80,13.84
2600,13.86,13.92
2700,13.97,13.99
2800,14.07,14.07
2900,14.11,14.14
3000,14.14,14.21
3100,14.23,14.27
3200,14.30,14.33
3300,14.35,14.40
3400,14.39,14.46
3500,14.50,14.51
3600,14.50,14.57
3700,14.60,14.63
3800,14.63,14.68
3900,14.71,14.73
4000,14.76,14.78
4100,14.82,14.83
4200,14.84,14.88
4300,14.88,14.93
4400,14.95,14.97
4500,15.03,15.02
4600,15.01,15.06
4700,15.07,15.11
4800,15.14,15.15
4900,15.16,15.19
5000,15.21,15.23
5100,15.23,15.27
5200,15.31,15.31
5300,15.31,15.35
5400,15.36,15.38
5500,15.36,15.42
5600,15.41,15.46
5700,15.46,15.49
5800,15.48,15.53
5900,15.54,15.56
6000,15.57,15.60
6100,15.58,15.63
6200,15.64,15.66
6300,15.66,15.69
6400,15.70,15.72
6500,15.73,15.76
6600,15.74,15.79
6700,15.80,15.82
6800,15.81,15.85
6900,15.81,15.88
7000,15.86,15.90
7100,15.86,15.93
7200,15.91,15.96
7300,15.93,15.99
7400,15.99,16.02
7500,16.01,16.04
7600,15.99,16.07
7700,16.05,16.10
7800,16.11,16.12
7900,16.08,16.15
8000,16.12,16.17
8100,16.16,16.20
8200,16.15,16.22
8300,16.18,16.25
8400,16.18,16.27
8500,16.26,16.29
8600,16.30,16.32
8700,16.29,16.34
8800,16.31,16.36
8900,16.37,16.39
9000,16.37,16.41
9100,16.42,16.43
9200,16.44,16.45
9300,16.43,16.47
9400,16.46,16.50
9500,16.46,16.52
9600,16.50,16.54
9700,16.47,16.56
9800,16.56,16.58
9900,16.56,16.60
10000,16.59,16.62
